vcv_accession	rcv_accession	gene_symbols	review_stars	review_status	clinical_significance	conditions
VCV000013950	RCV000182579	RET	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013950	RCV000469127	RET	1	criteria provided, single submitter	Pathogenic	{'name': 'Multiple endocrine neoplasia, type 2', 'database': 'MedGen', 'id': 'C4048306'}
VCV000013950	RCV001012358	RET	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary cancer-predisposing syndrome', 'database': 'MedGen', 'id': 'C0027672'}
VCV000013950	RCV003335040	RET	1	criteria provided, single submitter	Pathogenic	{'name': 'Multiple endocrine neoplasia type 2A', 'database': 'MedGen', 'id': 'C0025268'}
VCV000013957	RCV000014985	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Noonan syndrome 5', 'database': 'MedGen', 'id': 'C1969057'}
VCV000013957	RCV000014986	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'LEOPARD syndrome 2', 'database': 'MedGen', 'id': 'C1969056'}
VCV000013957	RCV000020509	RAF1	0	no classification provided	not provided	{'name': 'Noonan syndrome with multiple lentigines', 'database': 'MedGen', 'id': 'C0175704'}
VCV000013957	RCV000149826	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013957	RCV000157426	RAF1	3	reviewed by expert panel	Pathogenic	{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013957	RCV000157685	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013957	RCV000515222	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Dilated cardiomyopathy 1NN', 'database': 'MedGen', 'id': 'C4014656'};{'name': 'LEOPARD syndrome 2', 'database': 'MedGen', 'id': 'C1969056'};{'name': 'Noonan syndrome 5', 'database': 'MedGen', 'id': 'C1969057'}
VCV000013957	RCV000824754	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'};{'name': 'Noonan syndrome with multiple lentigines', 'database': 'MedGen', 'id': 'C0175704'}
VCV000013957	RCV000856803	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'}
VCV000013957	RCV001731288	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'RAF1-related disorder'}
VCV000013957	RCV001813205	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome and Noonan-related syndrome', 'database': 'MedGen', 'id': 'C5681679'}
VCV000013957	RCV002399323	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000013957	RCV003231105	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'See cases'}
VCV000013958	RCV000014987	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Noonan syndrome 5', 'database': 'MedGen', 'id': 'C1969057'}
VCV000013958	RCV000159076	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013958	RCV000208421	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Primary familial hypertrophic cardiomyopathy', 'database': 'MedGen', 'id': 'C0949658'}
VCV000013958	RCV000211849	RAF1	3	reviewed by expert panel	Pathogenic	{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013958	RCV000468714	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013958	RCV000618568	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000013958	RCV000622893	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000013958	RCV001813206	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome and Noonan-related syndrome', 'database': 'MedGen', 'id': 'C5681679'}
VCV000013958	RCV003450640	RAF1	0	no assertion criteria provided	Pathogenic	{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'}
VCV000013960	RCV000014989	RAF1	0	no assertion criteria provided	Pathogenic	{'name': 'LEOPARD syndrome 2', 'database': 'MedGen', 'id': 'C1969056'}
VCV000013960	RCV000014990	RAF1	0	no assertion criteria provided	Pathogenic/Likely pathogenic	{'name': 'Noonan syndrome 5', 'database': 'MedGen', 'id': 'C1969057'}
VCV000013960	RCV000020508	RAF1	0	no classification provided	not provided	{'name': 'Noonan syndrome with multiple lentigines', 'database': 'MedGen', 'id': 'C0175704'}
VCV000013960	RCV000159089	RAF1	3	reviewed by expert panel	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013960	RCV000254689	RAF1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013960	RCV000824753	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'};{'name': 'Noonan syndrome with multiple lentigines', 'database': 'MedGen', 'id': 'C0175704'}
VCV000013960	RCV001256891	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'Hypertrophic cardiomyopathy 1', 'database': 'MedGen', 'id': 'C3495498'}
VCV000013960	RCV004532353	RAF1	1	criteria provided, single submitter	Pathogenic	{'name': 'RAF1-related disorder'}
VCV000013961	RCV000014992	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Carcinoma of colon', 'database': 'MedGen', 'id': 'C0699790'}
VCV000013961	RCV000014993	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Papillary thyroid carcinoma', 'database': 'MedGen', 'id': 'C0238463'}
VCV000013961	RCV000014994	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Astrocytoma, low-grade, somatic', 'database': 'MedGen', 'id': 'C2674727'}
VCV000013961	RCV000022677	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Nongerminomatous germ cell tumor', 'database': 'MedGen', 'id': 'C1266158'}
VCV000013961	RCV000037936	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Non-small cell lung carcinoma', 'database': 'MedGen', 'id': 'C0007131'}
VCV000013961	RCV000067669	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Melanoma', 'database': 'MedGen', 'id': 'C0025202'}
VCV000013961	RCV000080903	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013961	RCV000208763	BRAF	0	no classification provided	not provided	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'}
VCV000013961	RCV000430562	BRAF	0	no assertion criteria provided	Likely pathogenic	{'name': 'Multiple myeloma', 'database': 'MedGen', 'id': 'C0026764'}
VCV000013961	RCV000662278	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Cystic epithelial invagination containing papillae lined by columnar epithelium'}
VCV000013961	RCV000860020	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Cerebral arteriovenous malformation', 'database': 'MedGen', 'id': 'C0917804'}
VCV000013961	RCV001248834	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Nephroblastoma', 'database': 'MedGen', 'id': 'C0027708'}
VCV000013961	RCV001254874	BRAF	0	no assertion criteria provided	Likely pathogenic	{'name': 'Malignant neoplastic disease', 'database': 'MedGen', 'id': 'C0006826'}
VCV000013961	RCV002051586	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Lymphangioma', 'database': 'MedGen', 'id': 'C0024221'}
VCV000013961	RCV003458334	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Vascular malformation', 'database': 'MedGen', 'id': 'C0158570'}
VCV000013961	RCV004018627	BRAF	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000013961	RCV005089260	BRAF	1	criteria provided, single submitter	Uncertain significance	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013961	RCV006713108	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'BRAF-related glioma susceptibility'}
VCV000013965	RCV000014998	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'}
VCV000013965	RCV000033285	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'};{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013965	RCV000208416	BRAF	3	reviewed by expert panel	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'}
VCV000013965	RCV000235118	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013965	RCV000678900	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013965	RCV001047900	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013965	RCV003150930	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'}
VCV000013965	RCV003338381	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013966	RCV000014999	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Carcinoma of colon', 'database': 'MedGen', 'id': 'C0699790'}
VCV000013966	RCV000015000	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Thyroid cancer, nonmedullary, 2', 'database': 'MedGen', 'id': 'C4225426'}
VCV000013966	RCV000037938	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Non-small cell lung carcinoma', 'database': 'MedGen', 'id': 'C0007131'}
VCV000013966	RCV000433498	BRAF	0	no assertion criteria provided	Likely pathogenic	{'name': 'Lung adenocarcinoma', 'database': 'MedGen', 'id': 'C0152013'}
VCV000013969	RCV000015003	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Non-small cell lung carcinoma', 'database': 'MedGen', 'id': 'C0007131'}
VCV000013969	RCV000030948	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013969	RCV000033333	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'};{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013969	RCV000208539	BRAF	0	no classification provided	not provided	{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'}
VCV000013969	RCV000505705	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013969	RCV001813207	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome and Noonan-related syndrome', 'database': 'MedGen', 'id': 'C5681679'}
VCV000013969	RCV002271369	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'}
VCV000013969	RCV002513056	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013969	RCV005222683	BRAF	0	no classification provided	not provided	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'};{'name': 'LEOPARD syndrome 3', 'database': 'MedGen', 'id': 'C3150971'};{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013973	RCV000015007	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'}
VCV000013973	RCV000033289	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013973	RCV000080904	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013973	RCV000208766	BRAF	3	reviewed by expert panel	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'}
VCV000013973	RCV001027771	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'};{'name': 'LEOPARD syndrome 3', 'database': 'MedGen', 'id': 'C3150971'};{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013973	RCV001261967	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013973	RCV001329219	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'LEOPARD syndrome 3', 'database': 'MedGen', 'id': 'C3150971'}
VCV000013973	RCV001813208	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome and Noonan-related syndrome', 'database': 'MedGen', 'id': 'C5681679'}
VCV000013973	RCV001813744	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'}
VCV000013973	RCV003224098	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'};{'name': 'Colorectal cancer', 'database': 'MedGen', 'id': 'C0346629'};{'name': 'LEOPARD syndrome 3', 'database': 'MedGen', 'id': 'C3150971'};{'name': 'Lung cancer', 'database': 'MedGen', 'id': 'C0242379'};{'name': 'Melanoma, cutaneous malignant, susceptibility to, 1', 'database': 'MedGen', 'id': 'C1835047'};{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013973	RCV004018628	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000013973	RCV004752707	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'BRAF-related disorder'}
VCV000013974	RCV000015008	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'}
VCV000013974	RCV000033307	BRAF	3	reviewed by expert panel	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013974	RCV000211748	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'}
VCV000013974	RCV000212152	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013974	RCV000506575	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'not specified', 'database': 'MedGen', 'id': 'CN169374'}
VCV000013974	RCV001813209	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome and Noonan-related syndrome', 'database': 'MedGen', 'id': 'C5681679'}
VCV000013974	RCV002287336	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013974	RCV003450641	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'}
VCV000013975	RCV000015009	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'}
VCV000013975	RCV000208764	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'}
VCV000013975	RCV000211749	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'};{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013975	RCV000680805	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013975	RCV001172276	BRAF	3	reviewed by expert panel	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013975	RCV001849264	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Ataxia-telangiectasia syndrome', 'database': 'MedGen', 'id': 'C0004135'}
VCV000013975	RCV003415705	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'BRAF-related disorder'}
VCV000013975	RCV004018629	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000013977	RCV000015011	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'}
VCV000013977	RCV000033315	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013977	RCV000207513	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013977	RCV000844616	BRAF	0	no assertion criteria provided	Pathogenic	{'name': 'Cardio-facio-cutaneous syndrome', 'database': 'MedGen', 'id': 'C1275081'};{'name': 'Noonan syndrome', 'database': 'MedGen', 'id': 'C0028326'}
VCV000013977	RCV004018630	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000013981	RCV000015015	BRAF	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'}
VCV000013981	RCV000033337	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000013981	RCV000622900	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000013981	RCV000763164	BRAF	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Cardiofaciocutaneous syndrome 1', 'database': 'MedGen', 'id': 'CN029449'};{'name': 'LEOPARD syndrome 3', 'database': 'MedGen', 'id': 'C3150971'};{'name': 'Lung carcinoma', 'database': 'MedGen', 'id': 'C0684249'};{'name': 'Noonan syndrome 1', 'database': 'MedGen', 'id': 'C4551602'};{'name': 'Noonan syndrome 7', 'database': 'MedGen', 'id': 'C3150970'}
VCV000013981	RCV001851863	BRAF	1	criteria provided, single submitter	Pathogenic	{'name': 'RASopathy', 'database': 'MedGen', 'id': 'C5555857'}
VCV000013983	RCV000015017	AKT1	0	no assertion criteria provided	Pathogenic	{'name': 'Breast adenocarcinoma', 'database': 'MedGen', 'id': 'C0858252'}
VCV000013983	RCV000015018	AKT1	0	no assertion criteria provided	Pathogenic	{'name': 'Carcinoma of colon', 'database': 'MedGen', 'id': 'C0699790'}
VCV000013983	RCV000015019	AKT1	0	no assertion criteria provided	Pathogenic	{'name': 'Ovarian neoplasm', 'database': 'MedGen', 'id': 'C0919267'}
VCV000013983	RCV000031926	AKT1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Proteus syndrome', 'database': 'MedGen', 'id': 'C0085261'}
VCV000013983	RCV000795313	AKT1	1	criteria provided, single submitter	Pathogenic	{'name': 'Cowden syndrome 6', 'database': 'MedGen', 'id': 'C3554519'}
VCV000013983	RCV001813745	AKT1	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014004	RCV000015041	NFKBIA	1	criteria provided, single submitter	Uncertain significance	{'name': 'Ectodermal dysplasia and immunodeficiency 2', 'database': 'MedGen', 'id': 'C2677481'}
VCV000014004	RCV001027609	NFKBIA	1	criteria provided, single submitter	Pathogenic	{'name': 'Inherited Immunodeficiency Diseases', 'database': 'MedGen', 'id': 'C5197805'}
VCV000014005	RCV000015042	NFKBIA	0	no assertion criteria provided	Pathogenic	{'name': 'Ectodermal dysplasia and immunodeficiency 2', 'database': 'MedGen', 'id': 'C2677481'}
VCV000014007	RCV000015044	SNCA	0	no assertion criteria provided	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 1', 'database': 'MedGen', 'id': 'C1868595'}
VCV000014007	RCV000526380	SNCA	1	criteria provided, single submitter	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 1', 'database': 'MedGen', 'id': 'C1868595'};{'name': 'Lewy body dementia', 'database': 'MedGen', 'id': 'C0752347'}
VCV000014007	RCV004786261	SNCA	1	criteria provided, single submitter	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 4', 'database': 'MedGen', 'id': 'C1854182'}
VCV000014007	RCV005031438	SNCA	1	criteria provided, single submitter	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 1', 'database': 'MedGen', 'id': 'C1868595'};{'name': 'Autosomal dominant Parkinson disease 4', 'database': 'MedGen', 'id': 'C1854182'};{'name': 'Lewy body dementia', 'database': 'MedGen', 'id': 'C0752347'}
VCV000014007	RCV005430932	SNCA	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014008	RCV000015045	SNCA	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Autosomal dominant Parkinson disease 1', 'database': 'MedGen', 'id': 'C1868595'}
VCV000014010	RCV000015047	SNCA	0	no assertion criteria provided	Pathogenic	{'name': 'Lewy body dementia', 'database': 'MedGen', 'id': 'C0752347'}
VCV000014010	RCV002514100	SNCA	1	criteria provided, single submitter	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 1', 'database': 'MedGen', 'id': 'C1868595'};{'name': 'Lewy body dementia', 'database': 'MedGen', 'id': 'C0752347'}
VCV000014020	RCV000015063	CXCR4	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Warts, hypogammaglobulinemia, infections, and myelokathexis', 'database': 'MedGen', 'id': 'C0472817'}
VCV000014020	RCV001509163	CXCR4	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014020	RCV001801237	CXCR4	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'WHIM syndrome 1', 'database': 'MedGen', 'id': 'C5542296'}
VCV000014023	RCV000015067	CXCR4	1	criteria provided, single submitter	Pathogenic	{'name': 'Warts, hypogammaglobulinemia, infections, and myelokathexis', 'database': 'MedGen', 'id': 'C0472817'}
VCV000014023	RCV001568992	CXCR4	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014023	RCV001801240	CXCR4	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'WHIM syndrome 1', 'database': 'MedGen', 'id': 'C5542296'}
VCV000014024	RCV000015068	NPY	0	no assertion criteria provided	Benign	{'name': 'NPY POLYMORPHISM'}
VCV000014024	RCV002054440	NPY	1	criteria provided, single submitter	Benign	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014164	RCV000015227	MPL	0	no assertion criteria provided	Pathogenic	{'name': 'Myelofibrosis with myeloid metaplasia', 'database': 'MedGen', 'id': 'CN077888'}
VCV000014164	RCV000022668	MPL	0	no assertion criteria provided	Pathogenic	{'name': 'Thrombocythemia 2, somatic', 'database': 'MedGen', 'id': 'C3277190'}
VCV000014164	RCV000501989	MPL	1	criteria provided, single submitter	Pathogenic	{'name': 'Congenital amegakaryocytic thrombocytopenia', 'database': 'MedGen', 'id': 'C1327915'}
VCV000014164	RCV001361128	MPL	1	criteria provided, single submitter	Uncertain significance	{'name': 'Congenital amegakaryocytic thrombocytopenia', 'database': 'MedGen', 'id': 'C1327915'};{'name': 'Essential thrombocythemia', 'database': 'MedGen', 'id': 'C0040028'}
VCV000014165	RCV000015228	MPL	0	no assertion criteria provided	Pathogenic	{'name': 'Myelofibrosis with myeloid metaplasia', 'database': 'MedGen', 'id': 'CN077888'}
VCV000014263	RCV000084498	MAPT	0	no classification provided	not provided	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014263	RCV002508758	MAPT	0	no assertion criteria provided	Pathogenic	{'name': 'Supranuclear palsy, progressive, 1', 'database': 'MedGen', 'id': 'C4551863'}
VCV000014384	RCV000015461	LHCGR	0	no assertion criteria provided	Pathogenic	{'name': 'Gonadotropin-independent familial sexual precocity', 'database': 'MedGen', 'id': 'C0342549'}
VCV000014384	RCV000517056	LHCGR	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000014384	RCV000583503	LHCGR	0	no assertion criteria provided	Pathogenic	{'name': 'Precocious puberty in males', 'database': 'MedGen', 'id': 'C1859979'}
VCV000014384	RCV000763499	LHCGR	1	criteria provided, single submitter	Pathogenic	{'name': 'Gonadotropin-independent familial sexual precocity', 'database': 'MedGen', 'id': 'C0342549'};{'name': 'Leydig cell agenesis', 'database': 'MedGen', 'id': 'C0266432'}
VCV000014403	RCV000015484	LHCGR	0	no assertion criteria provided	Pathogenic	{'name': 'Leydig cell adenoma, somatic, with male-limited precocious puberty', 'database': 'MedGen', 'id': 'C2674612'}
VCV000014408	RCV000015489	LHCGR	0	no assertion criteria provided	Pathogenic	{'name': 'Gonadotropin-independent familial sexual precocity', 'database': 'MedGen', 'id': 'C0342549'}
VCV000014436	RCV000015517	KCNH2	0	no assertion criteria provided	Pathogenic	{'name': 'Short QT syndrome type 1', 'database': 'MedGen', 'id': 'C1865020'}
VCV000014436	RCV000057981	KCNH2	0	no classification provided	not provided	{'name': 'Short QT syndrome', 'database': 'MedGen', 'id': 'C2348199'}
VCV000014436	RCV004991976	KCNH2	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000014662	RCV000015769	JAK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Acquired polycythemia vera', 'database': 'MedGen', 'id': 'C0032463'}
VCV000014662	RCV000015770	JAK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Primary myelofibrosis', 'database': 'MedGen', 'id': 'C0001815'}
VCV000014662	RCV000015771	JAK2	1	criteria provided, single submitter	Pathogenic	{'name': 'Acute myeloid leukemia', 'database': 'MedGen', 'id': 'C0023467'}
VCV000014662	RCV000015772	JAK2	0	no assertion criteria provided	risk factor	{'name': 'Budd-Chiari syndrome, susceptibility to, somatic'}
