#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
CNTNAP2	26047	7q35-q36.1	chr7:145813893-148118090	1	Little evidence for dosage pathogenicity	22031302						0	No evidence available							2019-10-23		
CNTNAP5	129684	2q14.3	chr2:124782864-125678796	1	Little evidence for dosage pathogenicity	32329157						0	No evidence available							2024-09-24		
COG1	9382	17q25.1	chr17:71189194-71204646	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012637	
COG4	25839	16q22.1	chr16:70514470-70557457	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013281	
COG7	91949	16p12.2	chr16:23399814-23464510	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	MONDO:0012118	
COG8	84342	16q22.1	chr16:69360331-69373467	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-25	MONDO:0012635	
COL11A1	1301	1p21.1	chr1:103342029-103574078	1	Little evidence for dosage pathogenicity	21035103						0	No evidence available							2011-10-19	MONDO:0011493	
COL16A1	1307	1p35.2	chr1:32117864-32169618	40	Dosage sensitivity unlikely	32487729	22344438	32461654				0	No evidence available							2021-02-01		
COL1A1	1277	17q21.33	chr17:48261462-48278992	3	Sufficient evidence for dosage pathogenicity	9067755	9016532					0	No evidence available							2012-08-23	MONDO:0008146	
COL1A2	1278	7q21.3	chr7:94024207-94060539	0	No evidence available							0	No evidence available							2012-10-12		
COL2A1	1280	12q13.11	chr12:48366750-48398259	3	Sufficient evidence for dosage pathogenicity	27390512	27408751	17721977				0	No evidence available							2020-07-29	MONDO:0007160	
COL3A1	1281	2q32.2	chr2:189839099-189877472	3	Sufficient evidence for dosage pathogenicity	11577371	24922459	24650746				0	No evidence available							2017-01-12	MONDO:0017314	
COL4A3	1285	2q36.3	chr2:228029340-228179508	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-05-22	MONDO:0008762	
COL4A5	1287	Xq22.3	chrX:107683068-107940775	3	Sufficient evidence for dosage pathogenicity	16941480	10752524	30577881				0	No evidence available							2020-09-08	MONDO:0010520	
COL5A1	1289	9q34.3	chr9:137533649-137736689	3	Sufficient evidence for dosage pathogenicity	10777716	8673139	10796876				0	No evidence available							2017-12-14	MONDO:0019567	
COL6A5	256076	3q22.1	chr3:130064359-130203690	40	Dosage sensitivity unlikely	32487729	26940866	28406212	25807282	32461654		0	No evidence available							2021-02-02		
COL7A1	1294	3p21.31	chr3:48601506-48632762	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2023-02-08		
COL9A1	1297	6q13	chr6:70924764-71012787	0	No evidence available							0	No evidence available							2013-11-06	MONDO:0013591	
COL9A2	1298	1p34.2	chr1:40766161-40782958	0	No evidence available							0	No evidence available							2013-10-09		
COLEC11	78989	2p25.3	chr2:3642702-3692234	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009927	
COLQ	8292	3p25.1	chr3:15491640-15563213	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011281	
COQ2	27235	4q21.22-q21.23	chr4:84184977-84206287	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011829	
CORO1A	11151	16p11.2	chr16:30194923-30200397	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014168	
COX10	1352	17p12	chr17:13972821-14111994	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009723	
COX15	1355	10q24.2	chr10:101454050-101491884	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014051	
COX20	116228	1q44	chr1:244998608-245008365	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0044970	
COX6B1	1340	19q13.12	chr19:36139225-36149684	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0044970	
CP	1356	3q24-q25.1	chr3:148880201-148939616	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011426	
CPA4	51200	7q32.2	chr7:129933001-129964020	0	No evidence available							0	No evidence available							2012-07-25		
CPA6	57094	8q13.2	chr8:68334273-68658595	0	No evidence available							0	No evidence available							2019-09-04		
CPLANE1	65250	5p13.2	chr5:37106337-37249478	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013824	
CPN1	1369	10q24.2	chr10:101801950-101841626	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008910	
CPS1	1373	2q34	chr2:211342409-211543831	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009376	
CPT1A	1374	11q13.3	chr11:68522088-68609384	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009705	
CRADD	8738	12q22	chr12:94071151-94288616	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013785	
CREBBP	1387	16p13.3	chr16:3775055-3930714	3	Sufficient evidence for dosage pathogenicity	17473832	20717166	18792986 18792986 20689175 30892814 30633342				0	No evidence available	19833603						2019-10-23	MONDO:0008393	
CRHR1	1394	17q21.31	chr17:43861686-43913194	0	No evidence available							0	No evidence available							2012-07-06		
CRIPT	9419	2p21	chr2:46844354-46857315	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014347	
CRKL	1399	22q11.21	chr22:21271695-21308035	1	Little evidence for dosage pathogenicity	28121514						0	No evidence available							2020-04-13		
CRPPA	729920	7p21.2	chr7:16127150-16461163	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0018276	
CRTAP	10491	3p22.3	chr3:33155506-33189265	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012536	
CRYBA1	1411	17q11.2	chr17:27573877-27581512	0	No evidence available							0	No evidence available							2013-06-06		
CRYBB2	1415	22q11.23	chr22:25615606-25627836	0	No evidence available							0	No evidence available							2023-01-10		
CRYGC	1420	2q33.3	chr2:208992861-208994552	0	No evidence available							0	No evidence available							2013-05-22		
CSF2RA	1438	Xp22.33 and Yp11.2	chrX:1387707-1444111	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	MONDO:0012580	
CSF2RA	1438	Xp22.33 and Yp11.2	chrY:1268814-1325218	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	MONDO:0012580	
CSF2RB	1439	22q12.3	chr22:37309670-37336481	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013712	
CSMD1	64478	8p23.2	chr8:2792883-4852436	1	Little evidence for dosage pathogenicity	21658582	28934986					0	No evidence available							2024-10-08	MONDO:0100038	
CSNK2A1	1457	20p13	chr20:453142-524434	1	Little evidence for dosage pathogenicity	27048600	30655572	38444259	37195306	33944995	35221879	0	No evidence available							2024-06-26	MONDO:0000508	
CSPP1	79848	8q13.1-q13.2	chr8:67976603-68108849	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014288	
CSTB	1476	21q22.3	chr21:45193831-45196189	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009698	
CTC1	80169	17p13.1	chr17:8128133-8151374	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-10-08	MONDO:0024564	
CTCF	10664	16q22.1	chr16:67596429-67673088	3	Sufficient evidence for dosage pathogenicity	23746550	30893510	31239556	25363768	33004838		0	No evidence available							2021-09-22	MONDO:0000508	
CTDP1	9150	18q23	chr18:77439803-77516625	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011402	
CTH	1491	1p31.1	chr1:70876951-70905534	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009058	
CTNNA1	1495	5q31.2	chr5:138089114-138270723	3	Sufficient evidence for dosage pathogenicity	32051609	29330337	33326660	26182300	28724667	23208944	0	No evidence available							2022-10-12	MONDO:0018502	
CTNNA3	29119	10q21.3	chr10:67672281-69455953	0	No evidence available	23375656	21658582	20427753				0	No evidence available	23632794	23375656					2018-10-24	MONDO:0100038	
CTNNB1	1499	3p22.1	chr3:41240996-41281934	3	Sufficient evidence for dosage pathogenicity	27915094	23033978	25326669				0	No evidence available							2017-11-22	MONDO:0014035	
CTNND2	1501	5p15.2	chr5:10971948-11904558	1	Little evidence for dosage pathogenicity	25106414	25807484	25473103	23375656	25839933	31814264	0	No evidence available							2021-10-12	MONDO:0100038	
CTNS	1497	17p13.2	chr17:3539753-3566397	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-08-22	MONDO:0100151	
CTSB	1508	8p23.1	chr8:11700033-11725596	0	No evidence available							0	No evidence available							2012-02-08		
CUBN	8029	10p13	chr10:16865965-17171810	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0100156	
CUL4B	8450	Xq24	chrX:119657713-119709387	3	Sufficient evidence for dosage pathogenicity	17236139	17273978	22182342	26350204			0	No evidence available							2021-02-09	MONDO:0010306	
CYB5A	1528	18q22.3	chr18:71918081-71959198	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009605	
CYBB	1536	Xp21.1-p11.4	chrX:37639312-37672714	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2020-05-27	MONDO:0010600	
CYLD	1540	16q12.1	chr16:50775997-50835846	3	Sufficient evidence for dosage pathogenicity	10835629	15854031	20132422				0	No evidence available							2021-02-10	MONDO:0011512	
CYP21A2	1589	6p21.33	chr6:32006192-32009421	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-07-06	MONDO:0008728	
CYP24A1	1591	20q13.2	chr20:52769985-52790525	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0020739	
CYP27A1	1593	2q35	chr2:219646870-219680016	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008948	
CYP3A43	64816	7q22.1	chr7:99425636-99463716	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
CYP4F22	126410	19p13.12	chr19:15619336-15663128	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011485	
CYP4V2	285440	4q35.1-q35.2	chr4:187112721-187134617	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008865	
D2HGDH	728294	2q37.3	chr2:242674045-242708226	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0024554	
DARS2	55157	1q25.1	chr1:173793811-173827684	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012622	
DAZ1	1617	Yq11.223	chrY:25275502-25345241	0	No evidence available							0	No evidence available							2012-10-17		
DBH	1621	9q34.2	chr9:136501485-136524451	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009123	
DBT	1629	1p21.2	chr1:100652475-100715390	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009563	
DCHS1	8642	11p15.4	chr11:6642561-6677040	1	Little evidence for dosage pathogenicity	26258302						0	No evidence available							2018-08-31		
DCLRE1C	64421	10p13	chr10:14939358-14996431	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011225	
DCX	1641	Xq23	chrX:110537007-110655420	3	Sufficient evidence for dosage pathogenicity	9489700						0	No evidence available							2012-07-06	MONDO:0010239	
DCXR	51181	17q25.3	chr17:79993734-79995573	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009846	
DDB2	1643	11p11.2	chr11:47236525-47260768	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010213	
DDHD1	80821	14q22.1	chr14:53503473-53620041	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-09-25	MONDO:0012256	
DDOST	1650	1p36.12	chr1:20978270-20987862	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013789	
DDX3X	1654	Xp11.4	chrX:41192561-41223725	3	Sufficient evidence for dosage pathogenicity	26235985	27159028	28327206				0	No evidence available							2017-11-22	MONDO:0010497	
DDX41	51428	5q35.3	chr5:176938578-176943962	3	Sufficient evidence for dosage pathogenicity	25920683	31484648	30963592	33585199	32868804	32098966	0	No evidence available							2022-02-09	MONDO:0014809	
DGKE	8526	17q22	chr17:54911512-54946928	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014005	
DGUOK	1716	2p13.1	chr2:74154007-74186073	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009636	
DHCR7	1717	11q13.4	chr11:71145457-71159439	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-04-04	MONDO:0010035	
DHODH	1723	16q22.2	chr16:72042643-72061558	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009903	
DHX57	90957	2p22.1	chr2:39024871-39103075	0	No evidence available	25363760	28263302					0	No evidence available							2018-06-28		
DICER1	23405	14q32.13	chr14:95552565-95624347	3	Sufficient evidence for dosage pathogenicity	26925222	19556464	21266384	25118636	28624956	22180160	0	No evidence available							2022-02-09	MONDO:0100216	
DIP2A	23181	21q22.3	chr21:47878804-47991139	1	Little evidence for dosage pathogenicity	18521840	25363768	24643514				0	No evidence available							2019-01-23	MONDO:0100038	
DIRAS3	9077	1p31.3	chr1:68511569-68517314	0	No evidence available							0	No evidence available							2011-10-19		
DIS3L2	129563	2q37.1	chr2:232826423-233209060	1	Little evidence for dosage pathogenicity	25670083	31350202	26822237				0	No evidence available							2020-10-14	MONDO:0009965	
DISC1	27185	1q42.2	chr1:231762536-232177018	0	No evidence available							0	No evidence available							2012-03-06		
DISP1	84976	1q41	chr1:222988381-223179337	0	No evidence available							0	No evidence available							2012-07-06		
DKC1	1736	Xq28	chrX:153991139-154005964	1	Little evidence for dosage pathogenicity	18627054						0	No evidence available							2023-06-14	MONDO:0100152	
DLG2	1740	11q14.1	chr11:83166055-85339417	1	Little evidence for dosage pathogenicity	21792059	25055870	18511947				0	No evidence available							2018-11-28	MONDO:0100038	
DLG3	1741	Xq13.1	chrX:69664685-69725340	3	Sufficient evidence for dosage pathogenicity	15185169	19795139	24721225	32021600	25644381		0	No evidence available							2024-04-25	MONDO:0019181	
DLG4	1742	17p13.1	chr17:7090506-7123369	3	Sufficient evidence for dosage pathogenicity	33597769						0	No evidence available							2023-10-10	MONDO:0100038	
DLGAP2	9228	8p23.3	chr8:687628-1656642	0	No evidence available							0	No evidence available							2012-03-22		
DLK1	8788	14q32.2	chr14:101193229-101204561	0	No evidence available							0	No evidence available							2012-04-28		
DLL1	28514	6q27	chr6:170591294-170600166	3	Sufficient evidence for dosage pathogenicity	31353024	22542183					0	No evidence available							2021-03-09	MONDO:0032877	
DLX1	1745	2q31.1	chr2:172950235-172954402	0	No evidence available							0	No evidence available							2012-03-30		
DLX2	1746	2q31.1	chr2:172964166-172967628	0	No evidence available							0	No evidence available							2012-01-19		
DLX5	1749	7q21.3	chr7:96649708-96654143	0	No evidence available							0	No evidence available							2012-05-14	MONDO:0009080	
DLX6	1750	7q21.3	chr7:96634865-96640352	0	No evidence available							0	No evidence available							2012-05-14	MONDO:0009080	
DMD	1756	Xp21.2-p21.1	chrX:31137339-33357505	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2019-11-20	MONDO:0010679	
DMP1	1758	4q22.1	chr4:88571432-88585509	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009430	
DMRT1	1761	9p24.3	chr9:841697-969090	1	Little evidence for dosage pathogenicity	20685758	22573722	23555275	32741963			0	No evidence available							2023-11-10	MONDO:0002145	
DMRT2	10655	9p24.3	chr9:1050357-1057552	0	No evidence available							0	No evidence available							2012-08-22		
DMXL2	23312	15q21.2	chr15:51739988-51914968	0	No evidence available							0	No evidence available							2012-04-04		
DNAAF1	123872	16q24.1	chr16:84178913-84211526	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013174	
DNAH11	8701	7p15.3	chr7:21582657-21941457	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012748	
DNAH5	1767	5p15.2	chr5:13690437-13944797	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012085	
DNAI1	27019	9p13.3	chr9:34458803-34520982	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009484	
DNAI2	64446	17q25.1	chr17:72270373-72311023	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012906	
DNAJB6	10049	7q36.3	chr7:157129698-157210133	0	No evidence available							0	No evidence available							2012-10-29		
DNAJC21	134218	5p13.2	chr5:34929664-34959069	1	Little evidence for dosage pathogenicity	26822949						0	No evidence available							2020-10-14	MONDO:0014887	
DNAJC28	54943	21q22.11	chr21:34860362-34864023	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
DNAJC6	9829	1p31.3	chr1:65730432-65881554	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014231	
DNASE1	1773	16p13.3	chr16:3661761-3715462	0	No evidence available							0	No evidence available							2012-02-22		
DNM1	1759	9q34.11	chr9:130965658-131017523	30	Gene associated with autosomal recessive phenotype	34172529	36553519					0	No evidence available							2023-08-08	MONDO:0100062	
DNMT3A	1788	2p23.3	chr2:25450743-25565459	3	Sufficient evidence for dosage pathogenicity	24614070	29900417	31685998				0	No evidence available							2024-09-25	MONDO:0014382	
DOCK7	85440	1p31.3	chr1:62920397-63154057	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014371	
DOCK8	81704	9p24.3	chr9:214865-465255	30	Gene associated with autosomal recessive phenotype							0	No evidence available	32185055						2023-06-14	MONDO:0009478	
DOK7	285489	4p16.3	chr4:3465033-3503209	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009690	
DPAGT1	1798	11q23.3	chr11:118967220-118972563	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0015286	
DPM1	8813	20q13.13	chr20:49551392-49575101	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012123	
DPM3	54344	1q22	chr1:155112367-155113007	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	MONDO:0013049	
DPP6	1804	7q36.2	chr7:153445218-154685995	1	Little evidence for dosage pathogenicity	23832105	18252227	30874922				0	No evidence available							2019-06-26	MONDO:0014580	
DPYD	1806	1p21.3	chr1:97543299-98386615	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-01-23	MONDO:0010130	
DPYS	1807	8q22.3	chr8:105391659-105479283	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009111	
DRD5	1816	4p16.1	chr4:9783258-9785633	0	No evidence available							0	No evidence available							2012-05-15		
DSC2	1824	18q12.1	chr18:28638806-28682384	1	Little evidence for dosage pathogenicity	17186466	17033975		29178656	31386562	33684294	0	No evidence available							2024-04-24	MONDO:0016342	
DSC3	1825	18q12.1	chr18:28569331-28622708	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013136	
DSCAM	1826	21q22.2	chr21:41382926-42219084	2	Some evidence for dosage pathogenicity	27824329	25363768	25363760	33004838	34312540		0	No evidence available							2023-10-10	MONDO:0005258	
DSE	29940	6q22.1	chr6:116575334-116766024	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014236	
DSG2	1829	18q12.1	chr18:29078140-29128971	2	Some evidence for dosage pathogenicity	21397041	17105751	16773573	31638835	29606362	16505173	0	No evidence available							2022-12-13	MONDO:0016587	
DSG4	147409	18q12.1	chr18:28956740-28994872	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011932	
DSP	1832	6p24.3	chr6:7541904-7586947	3	Sufficient evidence for dosage pathogenicity	31514951	27532257	24503780	23810894	20716751	31319917	0	No evidence available							2021-10-12	MONDO:0005021	
DSPP	1834	4q22.1	chr4:88529681-88538025	0	No evidence available							0	No evidence available							2013-03-27		
DYM	54808	18q21.1	chr18:46562757-46987015	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-23	MONDO:0016761	
DYNC1H1	1778	14q32.31	chr14:102430910-102522780	0	No evidence available							0	No evidence available							2023-11-14	MONDO:0018894	
DYNC2H1	79659	11q22.3	chr11:102980155-103350591	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013127	
DYNC2I1	55112	7q36.3	chr7:158631936-158738880	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014214	
DYRK1A	1859	21q22.13	chr21:38737875-38898660	3	Sufficient evidence for dosage pathogenicity	22495309	21294719	25944381				0	No evidence available							2020-12-16	MONDO:0013578	
EARS2	124454	16p12.2	chr16:23532075-23568696	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013971	
EBF3	253738	10q26.3	chr10:131633497-131762538	3	Sufficient evidence for dosage pathogenicity	28017373	28017370	35340043	37090941			0	No evidence available	34999443						2023-12-06	MONDO:0015021	
EBP	10682	Xp11.23	chrX:48380196-48387104	3	Sufficient evidence for dosage pathogenicity	11038443	12509714	10942423				0	No evidence available							2020-01-22	MONDO:0020603	
EDA	1896	Xq13.1	chrX:68835957-69259322	3	Sufficient evidence for dosage pathogenicity	18510547	17568423	9683615	18666859		21457804	0	No evidence available							2023-01-25	MONDO:0010585	
EDNRB	1910	13q22.3	chr13:78469616-78549662	1	Little evidence for dosage pathogenicity	10528251	30394532	28236341	32990402	31427586		0	No evidence available							2022-02-07	MONDO:0010192	
EEF1A2	1917	20q13.33	chr20:62119367-62130436	0	No evidence available							0	No evidence available							2023-06-13		
EFCAB13	124989	17q21.32	chr17:45401321-45518678	40	Dosage sensitivity unlikely	32487729	26940866	25807282	28406212	32461654		0	No evidence available							2021-02-02		
EFL1	79631	15q25.2	chr15:82422574-82555075	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2022-04-13	MONDO:0009833	
EFNB1	1947	Xq13.1	chrX:68048864-68062003	3	Sufficient evidence for dosage pathogenicity	15124102	15166289	23335590	31285555	16639408		1	Little evidence for dosage pathogenicity	21064195	21542058	21782985				2025-05-13	MONDO:0010570	
EFTUD2	9343	17q21.31	chr17:42927316-42976813	3	Sufficient evidence for dosage pathogenicity	22305528	23188108					0	No evidence available							2013-05-23	MONDO:0012516	
EGFR	1956	7p11.2	chr7:55086710-55279321	0	No evidence available	25606410						0	No evidence available							2022-05-11		
EGR2	1959	10q21.3	chr10:64571756-64578927	0	No evidence available							0	No evidence available							2011-11-28		
EIF2AK3	9451	2p11.2	chr2:88856259-88926982	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009192	
EIF2B1	1967	12q24.31	chr12:124104953-124118233	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0800439	
EIF2B3	8891	1p34.1	chr1:45316194-45452267	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0800439	
EIF4A3	9775	17q25.3	chr17:78108168-78120927	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009998	
ELANE	1991	19p13.3	chr19:852303-856243	1	Little evidence for dosage pathogenicity	10581030	19415009	21425445	23463630	31427279		0	No evidence available							2022-07-13	MONDO:0018542	
ELAVL2	1993	9p21.3	chr9:23690102-23850599	1	Little evidence for dosage pathogenicity	25055870						0	No evidence available							2018-11-28	MONDO:0100038	
ELK1	2002	Xp11.23	chrX:47494919-47510003	0	No evidence available							0	No evidence available							2012-09-26		
ELN	2006	7q11.23	chr7:73442503-73484237	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2012-07-10	MONDO:0008504	
ELOA3	162699	18q21.1	chr18:44554573-44556449	0	No evidence available							0	No evidence available							2012-02-22		
EMX2	2018	10q26.11	chr10:119302257-119309057	1	Little evidence for dosage pathogenicity	8528262	9359037	18409201	20157829	17506092	25577462	0	No evidence available							2021-11-09	MONDO:0010011	
EN2	2020	7q36.3	chr7:155250824-155257526	0	No evidence available							0	No evidence available							2012-08-26		
ENG	2022	9q34.11	chr9:130577291-130617052	3	Sufficient evidence for dosage pathogenicity	9245986	9366572; 10545596; 10749981	15879500	23399955; 35487791			0	No evidence available							2024-01-11	MONDO:0008535	
ENO3	2027	17p13.2	chr17:4853847-4860424	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013046	
ENPP1	5167	6q23.2	chr6:132129160-132216295	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013219	
EP300	2033	22q13.2	chr22:41488596-41576081	3	Sufficient evidence for dosage pathogenicity	15706485	19353645					0	No evidence available							2013-03-14	MONDO:0013364	
EPB42	2038	15q15.2	chr15:43489425-43513216	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012985	
EPM2A	7957	6q24.3	chr6:145946441-146057159	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009697	
EPS8	2059	12p12.3	chr12:15773068-15942322	30	Gene associated with autosomal recessive phenotype	24741995	27344577					0	No evidence available							2018-02-07	MONDO:0014428	
ERBB4	2066	2q34	chr2:212240442-213403526	1	Little evidence for dosage pathogenicity	23275889	23375656	23633123	33603162	35441737		0	No evidence available							2024-10-23	MONDO:0100038	
ERCC1	2067	19q13.32	chr19:45910592-45954805	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012554	
ERCC2	2068	19q13.32	chr19:45853095-45873831	30	Gene associated with autosomal recessive phenotype							40	Dosage sensitivity unlikely							2023-06-13	MONDO:0010212	
ERCC3	2071	2q14.3	chr2:128014866-128051720	30	Gene associated with autosomal recessive phenotype	27655433	28202063					0	No evidence available							2020-06-30	MONDO:0012531	
ERCC4	2072	16p13.12	chr16:14014011-14046205	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2023-08-09		
ERCC5	2073	13q33.1	chr13:103498382-103528345	30	Gene associated with autosomal recessive phenotype							40	Dosage sensitivity unlikely							2016-08-22	MONDO:0010216	
ERCC6L2	375748	9q22.32	chr9:98637973-98803374	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014317	
