#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
DLG2	1740	11q14.1	chr11:83455012-85628373	1	Little evidence for dosage pathogenicity	21792059	25055870	18511947				0	No evidence available							2018-11-28	MONDO:0100038	
DLG3	1741	Xq13.1	chrX:70444835-70505490	3	Sufficient evidence for dosage pathogenicity	15185169	19795139	24721225	32021600	25644381		0	No evidence available							2024-04-25	MONDO:0019181	
DLG4	1742	17p13.1	chr17:7187187-7220050	3	Sufficient evidence for dosage pathogenicity	33597769						0	No evidence available							2023-10-10	MONDO:0100038	
DLGAP2	9228	8p23.3	chr8:737628-1708476	0	No evidence available							0	No evidence available							2012-03-22		
DLK1	8788	14q32.2	chr14:100726892-100738224	0	No evidence available							0	No evidence available							2012-04-28		
DLL1	28514	6q27	chr6:170282206-170291078	3	Sufficient evidence for dosage pathogenicity	31353024	22542183					0	No evidence available							2021-03-09	MONDO:0032877	
DLX1	1745	2q31.1	chr2:172085507-172089674	0	No evidence available							0	No evidence available							2012-03-30		
DLX2	1746	2q31.1	chr2:172099438-172102900	0	No evidence available							0	No evidence available							2012-01-19		
DLX5	1749	7q21.3	chr7:97020396-97024831	0	No evidence available							0	No evidence available							2012-05-14	MONDO:0009080	
DLX6	1750	7q21.3	chr7:97005553-97011040	0	No evidence available							0	No evidence available							2012-05-14	MONDO:0009080	
DMD	1756	Xp21.2-p21.1	chrX:31119222-33339388	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2019-11-20	MONDO:0010679	
DMP1	1758	4q22.1	chr4:87650280-87664357	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009430	
DMRT1	1761	9p24.3	chr9:841697-969090	1	Little evidence for dosage pathogenicity	20685758	22573722	23555275	32741963			0	No evidence available							2023-11-10	MONDO:0002145	
DMRT2	10655	9p24.3	chr9:1050357-1057552	0	No evidence available							0	No evidence available							2012-08-22		
DMXL2	23312	15q21.2	chr15:51447791-51622771	0	No evidence available							0	No evidence available							2012-04-04		
DNAAF1	123872	16q24.1	chr16:84145308-84177920	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013174	
DNAH11	8701	7p15.3	chr7:21543039-21901839	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012748	
DNAH5	1767	5p15.2	chr5:13690328-14011818	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012085	
DNAI1	27019	9p13.3	chr9:34458805-34520984	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009484	
DNAI2	64446	17q25.1	chr17:74274234-74314884	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012906	
DNAJB6	10049	7q36.3	chr7:157337004-157417439	0	No evidence available							0	No evidence available							2012-10-29		
DNAJC21	134218	5p13.2	chr5:34929559-34958964	1	Little evidence for dosage pathogenicity	26822949						0	No evidence available							2020-10-14	MONDO:0014887	
DNAJC28	54943	21q22.11	chr21:33488055-33491716	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
DNAJC6	9829	1p31.3	chr1:65264749-65415871	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014231	
DNASE1	1773	16p13.3	chr16:3611760-3665461	0	No evidence available							0	No evidence available							2012-02-22		
DNM1	1759	9q34.11	chr9:128203379-128255244	30	Gene associated with autosomal recessive phenotype	34172529	36553519					0	No evidence available							2023-08-08	MONDO:0100062	
DNMT3A	1788	2p23.3	chr2:25227874-25342590	3	Sufficient evidence for dosage pathogenicity	24614070	29900417	31685998				0	No evidence available							2024-09-25	MONDO:0014382	
DOCK7	85440	1p31.3	chr1:62454726-62688386	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014371	
DOCK8	81704	9p24.3	chr9:211257-465255	30	Gene associated with autosomal recessive phenotype							0	No evidence available	32185055						2023-06-14	MONDO:0009478	
DOK7	285489	4p16.3	chr4:3463306-3501482	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009690	
DPAGT1	1798	11q23.3	chr11:119093874-119101853	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0015286	
DPM1	8813	20q13.13	chr20:50934855-50958564	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012123	
DPM3	54344	1q22	chr1:155139891-155140531	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	MONDO:0013049	
DPP6	1804	7q36.2	chr7:153748133-154894285	1	Little evidence for dosage pathogenicity	23832105	18252227	30874922				0	No evidence available							2019-06-26	MONDO:0014580	
DPYD	1806	1p21.3	chr1:97077743-97921059	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-01-23	MONDO:0010130	
DPYS	1807	8q22.3	chr8:104379431-104467055	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009111	
DRD5	1816	4p16.1	chr4:9781634-9784009	0	No evidence available							0	No evidence available							2012-05-15		
DSC2	1824	18q12.1	chr18:31058840-31102421	1	Little evidence for dosage pathogenicity	17186466	17033975		29178656	31386562	33684294	0	No evidence available							2024-04-24	MONDO:0016342	
DSC3	1825	18q12.1	chr18:30989365-31042742	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013136	
DSCAM	1826	21q22.2	chr21:40010999-40847158	2	Some evidence for dosage pathogenicity	27824329	25363768	25363760	33004838	34312540		0	No evidence available							2023-10-10	MONDO:0005258	
DSE	29940	6q22.1	chr6:116254171-116444861	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014236	
DSG2	1829	18q12.1	chr18:31498177-31549008	2	Some evidence for dosage pathogenicity	21397041	17105751	16773573	31638835	29606362	16505173	0	No evidence available							2022-12-13	MONDO:0016587	
DSG4	147409	18q12.1	chr18:31376777-31414909	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011932	
DSP	1832	6p24.3	chr6:7541671-7586714	3	Sufficient evidence for dosage pathogenicity	31514951	27532257	24503780	23810894	20716751	31319917	0	No evidence available							2021-10-12	MONDO:0005021	
DSPP	1834	4q22.1	chr4:87608529-87616873	0	No evidence available							0	No evidence available							2013-03-27		
DYM	54808	18q21.1	chr18:49036387-49460645	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-23	MONDO:0016761	
DYNC1H1	1778	14q32.31	chr14:101964573-102056443	0	No evidence available							0	No evidence available							2023-11-14	MONDO:0018894	
DYNC2H1	79659	11q22.3	chr11:103109426-103479863	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013127	
DYNC2I1	55112	7q36.3	chr7:158839245-158958698	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014214	
DYRK1A	1859	21q22.13	chr21:37365573-37526358	3	Sufficient evidence for dosage pathogenicity	22495309	21294719	25944381				0	No evidence available							2020-12-16	MONDO:0013578	
EARS2	124454	16p12.2	chr16:23520754-23557375	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013971	
EBF3	253738	10q26.3	chr10:129835233-129964274	3	Sufficient evidence for dosage pathogenicity	28017373	28017370	35340043	37090941			0	No evidence available	34999443						2023-12-06	MONDO:0015021	
EBP	10682	Xp11.23	chrX:48521808-48528716	3	Sufficient evidence for dosage pathogenicity	11038443	12509714	10942423				0	No evidence available							2020-01-22	MONDO:0020603	
EDA	1896	Xq13.1	chrX:69616113-70039472	3	Sufficient evidence for dosage pathogenicity	18510547	17568423	9683615	18666859		21457804	0	No evidence available							2023-01-25	MONDO:0010585	
EDNRB	1910	13q22.3	chr13:77895481-77975527	1	Little evidence for dosage pathogenicity	10528251	30394532	28236341	32990402	31427586		0	No evidence available							2022-02-07	MONDO:0010192	
EEF1A2	1917	20q13.33	chr20:63488014-63499083	0	No evidence available							0	No evidence available							2023-06-13		
EFCAB13	124989	17q21.32	chr17:47323955-47441312	40	Dosage sensitivity unlikely	32487729	26940866	25807282	28406212	32461654		0	No evidence available							2021-02-02		
EFL1	79631	15q25.2	chr15:82130233-82262734	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2022-04-13	MONDO:0009833	
EFNB1	1947	Xq13.1	chrX:68829021-68842160	3	Sufficient evidence for dosage pathogenicity	15124102	15166289	23335590	31285555	16639408		1	Little evidence for dosage pathogenicity	21064195	21542058	21782985				2025-05-13	MONDO:0010570	
EFTUD2	9343	17q21.31	chr17:44849948-44899445	3	Sufficient evidence for dosage pathogenicity	22305528	23188108					0	No evidence available							2013-05-23	MONDO:0012516	
EGFR	1956	7p11.2	chr7:55019017-55211628	0	No evidence available	25606410						0	No evidence available							2022-05-11		
EGR2	1959	10q21.3	chr10:62811996-62819167	0	No evidence available							0	No evidence available							2011-11-28		
EIF2AK3	9451	2p11.2	chr2:88556741-88628145	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009192	
EIF2B1	1967	12q24.31	chr12:123620406-123633686	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0800439	
EIF2B3	8891	1p34.1	chr1:44850522-44986595	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0800439	
EIF4A3	9775	17q25.3	chr17:80134369-80147128	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009998	
ELANE	1991	19p13.3	chr19:852303-856243	1	Little evidence for dosage pathogenicity	10581030	19415009	21425445	23463630	31427279		0	No evidence available							2022-07-13	MONDO:0018542	
ELAVL2	1993	9p21.3	chr9:23690104-23850601	1	Little evidence for dosage pathogenicity	25055870						0	No evidence available							2018-11-28	MONDO:0100038	
ELK1	2002	Xp11.23	chrX:47635520-47650604	0	No evidence available							0	No evidence available							2012-09-26		
ELN	2006	7q11.23	chr7:74028173-74069907	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2012-07-10	MONDO:0008504	
ELOA3	162699	18q21.1	chr18:47028202-47030078	0	No evidence available							0	No evidence available							2012-02-22		
EMX2	2018	10q26.11	chr10:117542746-117549546	1	Little evidence for dosage pathogenicity	8528262	9359037	18409201	20157829	17506092	25577462	0	No evidence available							2021-11-09	MONDO:0010011	
EN2	2020	7q36.3	chr7:155458129-155464831	0	No evidence available							0	No evidence available							2012-08-26		
ENG	2022	9q34.11	chr9:127815016-127854658	3	Sufficient evidence for dosage pathogenicity	9245986	9366572; 10545596; 10749981	15879500	23399955; 35487791			0	No evidence available							2024-01-11	MONDO:0008535	
ENO3	2027	17p13.2	chr17:4948710-4957129	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013046	
ENPP1	5167	6q23.2	chr6:131808020-131895155	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013219	
EP300	2033	22q13.2	chr22:41092592-41180077	3	Sufficient evidence for dosage pathogenicity	15706485	19353645					0	No evidence available							2013-03-14	MONDO:0013364	
EPB42	2038	15q15.2	chr15:43197227-43225737	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012985	
EPM2A	7957	6q24.3	chr6:145383353-145736023	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009697	
EPS8	2059	12p12.3	chr12:15620134-15789388	30	Gene associated with autosomal recessive phenotype	24741995	27344577					0	No evidence available							2018-02-07	MONDO:0014428	
ERBB4	2066	2q34	chr2:211375717-212538802	1	Little evidence for dosage pathogenicity	23275889	23375656	23633123	33603162	35441737		0	No evidence available							2024-10-23	MONDO:0100038	
ERCC1	2067	19q13.32	chr19:45407334-45451547	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012554	
ERCC2	2068	19q13.32	chr19:45349837-45370573	30	Gene associated with autosomal recessive phenotype							40	Dosage sensitivity unlikely							2023-06-13	MONDO:0010212	
ERCC3	2071	2q14.3	chr2:127257290-127294144	30	Gene associated with autosomal recessive phenotype	27655433	28202063					0	No evidence available							2020-06-30	MONDO:0012531	
ERCC4	2072	16p13.12	chr16:13920154-13952348	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2023-08-09		
ERCC5	2073	13q33.1	chr13:102846032-102875995	30	Gene associated with autosomal recessive phenotype							40	Dosage sensitivity unlikely							2016-08-22	MONDO:0010216	
ERCC6L2	375748	9q22.32	chr9:95875691-96041092	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014317	
ERCC8	1161	5q12.1	chr5:60866454-60945070	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0019569	
ERF	2077	19q13.2	chr19:42247569-42255128	3	Sufficient evidence for dosage pathogenicity	30758909	23354439	26097063	29215649			0	No evidence available							2021-06-08	MONDO:0010929	
ERMARD	55780	6q27	chr6:169751306-169781600	1	Little evidence for dosage pathogenicity	24056535						0	No evidence available							2013-11-13		
ESCO2	157570	8p21.1	chr8:27771974-27819660	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0100253	
ESPN	83715	1p36.31	chr1:6424776-6461370	30	Gene associated with autosomal recessive phenotype	15286153	18973245					0	No evidence available							2018-02-07	MONDO:0012170	
ETFB	2109	19q13.41	chr19:51345155-51366388	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009282	
ETFDH	2110	4q32.1	chr4:158672296-158709623	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009282	
ETV6	2120	12p13.2	chr12:11649674-11895377	3	Sufficient evidence for dosage pathogenicity	26522332	30940639	26102509	27365488	25807284	28104920	0	No evidence available							2023-01-11	OMIM:616216	
EVC2	132884	4p16.2	chr4:5529011-5709548	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-07-18	MONDO:0009162	
EVX2	344191	2q31.1	chr2:176077472-176083962	0	No evidence available							0	No evidence available							2012-04-04		
EXO5	64789	1p34.2	chr1:40508767-40516038	40	Dosage sensitivity unlikely	32487729	25807282	32461654				0	No evidence available							2021-02-02		
EXOSC3	51010	9p13.2	chr9:37779714-37785092	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013853	
EXPH5	23086	11q22.3	chr11:108505435-108607536	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014014	
EXT1	2131	8q24.11	chr8:117794490-118111826	3	Sufficient evidence for dosage pathogenicity	29529714	30334991	28690282				0	No evidence available							2020-06-17	MONDO:0007585	
EXT2	2132	11p11.2	chr11:44095678-44251962	3	Sufficient evidence for dosage pathogenicity	29529714	30334991	28690282				0	No evidence available							2020-06-23	MONDO:0007586	
EYA1	2138	8q13.3	chr8:71197433-71548094	3	Sufficient evidence for dosage pathogenicity	30086703	16813606	29552445				0	No evidence available							2020-08-25	MONDO:0007236	
EYA4	2070	6q23.2	chr6:133240593-133532128	3	Sufficient evidence for dosage pathogenicity	11159937	17567890	15735644				0	No evidence available							2020-01-22	MONDO:0011031	
EYS	346007	6q12	chr6:63719980-65707226	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011272	
F10	2159	13q34	chr13:113122799-113149529	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009212	
F13A1	2162	6p25.1	chr6:6144084-6320662	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013187	
F13B	2165	1q31.3	chr1:197038741-197067260	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013190	
F5	2153	1q24.2	chr1:169511951-169586481	30	Gene associated with autosomal recessive phenotype	11435304	19598066					0	No evidence available							2018-01-11	MONDO:0009210	
F7	2155	13q34	chr13:113105788-113120685	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009211	
F8	2157	Xq28	chrX:154835792-155022723	3	Sufficient evidence for dosage pathogenicity	2987704	23534532	23551875				0	No evidence available							2020-10-13	MONDO:0010602	
F9	2158	Xq27.1	chrX:139530739-139563459	3	Sufficient evidence for dosage pathogenicity	20301668	29296726					0	No evidence available							2021-01-12	MONDO:0010604	
FA2H	79152	16q23.1	chr16:74712969-74774820	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012866	
FADD	8772	11q13.3	chr11:70203296-70207390	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013408	
FAH	2184	15q25.1	chr15:80152789-80186949	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-09-02	MONDO:0010161	
FAM161A	84140	2p15	chr2:61800240-61854060	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011630	
FAM20C	56975	7p22.3	chr7:192571-260772	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009821	
FAN1	22909	15q13.3	chr15:30903852-30943108	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013898	
FANCA	2175	16q24.3	chr16:89737549-89816647	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2023-10-11	MONDO:0009215	
FANCB	2187	Xp22.2	chrX:14689524-14873069	3	Sufficient evidence for dosage pathogenicity	15502827	29232005	21910217	16679491			0	No evidence available							2021-06-23	MONDO:0010351	
FANCD2	2177	3p25.3	chr3:10026437-10101932	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2023-08-09	MONDO:0009214	
FANCE	2178	6p21.31	chr6:35452338-35467102	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-06-12	MONDO:0010953	
FANCF	2188	11p14.3	chr11:22622533-22625823	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2025-01-08	MONDO:0011325	
FANCG	2189	9p13.3	chr9:35073839-35079942	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-11-15	MONDO:0013565	
FANCL	55120	2p16.1	chr2:58159243-58241380	30	Gene associated with autosomal recessive phenotype	32235514						0	No evidence available							2023-10-21		
FANCM	57697	14q21.2	chr14:45135930-45200890	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2024-04-09		
FARS2	10667	6p25.1	chr6:5249934-5771583	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009723	
FAS	355	10q23.31	chr10:88964050-89017059	1	Little evidence for dosage pathogenicity	21490157	26563159	23524443	34171534			0	No evidence available							2022-02-08	MONDO:0017979	
FASLG	356	1q24.3	chr1:172659103-172666876	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2023-10-11	MONDO:0011158	
FBN1	2200	15q21.1	chr15:48408313-48645709	3	Sufficient evidence for dosage pathogenicity	17701892	30286810	21063442				0	No evidence available							2019-12-04	MONDO:0007947	
FBN2	2201	5q23.3	chr5:128257909-128538245	0	No evidence available							0	No evidence available							2024-02-28		
FBP1	2203	9q22.32	chr9:94603133-94640263	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009251	
FBXO7	25793	22q12.3	chr22:32474811-32498829	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009830	
FBXW11	23291	5q35.1	chr5:171861549-172006638	0	No evidence available							1	Little evidence for dosage pathogenicity	16865294						2011-12-07		
FBXW4	6468	10q24.32	chr10:101610666-101695295	0	No evidence available							0	No evidence available							2014-10-08		MONDO:0009525
FGD1	2245	Xp11.22	chrX:54445454-54496234	3	Sufficient evidence for dosage pathogenicity	17152066	20082460	16353258	19110080	28103835	33067218	0	No evidence available							2021-05-26	MONDO:0010589	
FGD4	121512	12p11.21	chr12:32399558-32646050	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012250	
FGF10	2255	5p12	chr5:44300247-44389420	3	Sufficient evidence for dosage pathogenicity	15654336	16630169	19102732				0	No evidence available							2022-02-23	MONDO:0007872	
FGF12	2257	3q28-q29	chr3:192139390-192727541	0	No evidence available	25217958	25232849	28446957				1	Little evidence for dosage pathogenicity	32524056						2021-12-01		MONDO:0100062
FGF3	2248	11q13.3	chr11:69809968-69819416	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012541	
FGFR1	2260	8p11.23	chr8:38411143-38468635	3	Sufficient evidence for dosage pathogenicity	12627230	15605412	19489874				0	No evidence available							2021-04-05	MONDO:0007844	
FGFR3	2261	4p16.3	chr4:1793293-1808867	0	No evidence available							0	No evidence available	21815251	20197130					2011-11-09		
FGFRL1	53834	4p16.3	chr4:1010212-1026898	0	No evidence available							0	No evidence available							2013-08-01		
FH	2271	1q43	chr1:241497603-241519755	3	Sufficient evidence for dosage pathogenicity	21398687						0	No evidence available							2020-07-06	MONDO:0007888	
FHIT	2272	3p14.2	chr3:59747277-61251452	0	No evidence available	17363630	2337565					0	No evidence available	27113213						2018-10-24		
FKBP14	55033	7p14.3	chr7:30005923-30026702	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013800	
FLCN	201163	17p11.2	chr17:17212212-17237330	3	Sufficient evidence for dosage pathogenicity	22146830	20413710	21412933	35639097	35637701	33927747	0	No evidence available							2023-01-11	MONDO:0800444	
FLG	2312	1q21.3	chr1:152302165-152325239	3	Sufficient evidence for dosage pathogenicity	16444271	27793761	27667308				0	No evidence available							2020-02-26	MONDO:0015947	
FLNA	2316	Xq28	chrX:154348531-154374634	3	Sufficient evidence for dosage pathogenicity	16684786	23032111	26471271				0	No evidence available	24098143						2020-12-02	MONDO:0010233	
FLNB	2317	3p14.3	chr3:58008422-58172251	0	No evidence available							0	No evidence available							2013-07-25		
FLNC	2318	7q32.1	chr7:128830406-128859272	3	Sufficient evidence for dosage pathogenicity	28008423	27908349	28436997	30067491			0	No evidence available							2021-07-13	MONDO:0005021	
FLVCR2	55640	14q24.3	chr14:75578620-75648167	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009168	
FMO2	2327	1q24.3	chr1:171185208-171212686	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
FMR1	2332	Xq27.3	chrX:147911919-147951125	3	Sufficient evidence for dosage pathogenicity	1642231	7670500	8069307				0	No evidence available							2020-12-16	MONDO:0010383	
FOLR1	2348	11q13.4	chr11:72189709-72196323	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-06-25	MONDO:0013110	
FOSL2	2355	2p23.2	chr2:28392858-28417317	0	No evidence available							0	No evidence available							2024-12-10	MONDO:0968978	
FOXC1	2296	6p25.3	chr6:1609915-1613897	3	Sufficient evidence for dosage pathogenicity	11170889	17653043	16936096				0	No evidence available							2020-07-29	MONDO:0011233	
FOXC2	2303	16q24.1	chr16:86566829-86569728	3	Sufficient evidence for dosage pathogenicity	11078474	11694548	21918810				0	No evidence available							2013-11-26	MONDO:0007922	
FOXE1	2304	9q22.33	chr9:97853226-97856717	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009437	
FOXE3	2301	1p33	chr1:47416285-47418052	0	No evidence available							0	No evidence available							2017-12-13		
FOXF1	2294	16q24.1	chr16:86510527-86515422	3	Sufficient evidence for dosage pathogenicity	23505205						0	No evidence available							2013-06-20	MONDO:0009934	
FOXG1	2290	14q12	chr14:28766787-28770277	3	Sufficient evidence for dosage pathogenicity	28661489	24836831	29655203	24139857	19578037	18571142	0	No evidence available							2021-03-09	MONDO:0100040	
FOXL2	668	3q22.3	chr3:138944224-138947137	3	Sufficient evidence for dosage pathogenicity	28924383	15962237	20232352	11468277	29339661	18726931	0	No evidence available							2021-02-09	MONDO:0007201	
FOXP1	27086	3p13	chr3:70954708-71583978	3	Sufficient evidence for dosage pathogenicity	29090079	20848658	20950788				0	No evidence available							2020-01-22	MONDO:0013352	
FOXP2	93986	7q31.1	chr7:114086327-114693765	3	Sufficient evidence for dosage pathogenicity	15877281	23918746	27572252	36328423			0	No evidence available							2025-04-08	MONDO:0016226	
FOXRED1	55572	11q24.2	chr11:126269154-126278126	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009723	
FRMD7	90167	Xq26.2	chrX:132076990-132128020	3	Sufficient evidence for dosage pathogenicity	17013395	20450309	28378818				0	No evidence available							2020-04-09	MONDO:0010693	
FSHB	2488	11p14.1	chr11:30231014-30235194	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009239	
FTCD	10841	21q22.3	chr21:46136262-46155579	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009240	
FTL	2512	19q13.33	chr19:48965309-48966879	0	No evidence available							0	No evidence available							2013-08-22		
FTSJ1	24140	Xp11.23	chrX:48476021-48486364	2	Some evidence for dosage pathogenicity	15162322	15342698	18081026	31170314	31981491	36720500	0	No evidence available							2023-03-22	MONDO:0019181	
FXN	2395	9q21.11	chr9:69035752-69079076	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0100340	
FYCO1	79443	3p21.31	chr3:45917903-45995824	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-05-20	MONDO:0012395	
FZD4	8322	11q14.2	chr11:86945679-86955395	3	Sufficient evidence for dosage pathogenicity	12172548	14507768	25711638	26244290	34860240	35394490	0	No evidence available							2023-01-25	MONDO:0007589	
G6PC3	92579	17q21.31	chr17:44070673-44076344	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-04-30	MONDO:0012930	
GAA	2548	17q25.3	chr17:80101581-80119881	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009290	
GAB4	128954	22q11.1	chr22:16961936-17008222	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
GABRA1	2554	5q34	chr5:161847191-161899971	1	Little evidence for dosage pathogenicity	16718694	21714819	27613244	28554332	29655203	16123039	0	No evidence available							2021-11-09	MONDO:0100038	
GABRB3	2562	15q12	chr15:26543552-26773763	0	No evidence available							0	No evidence available							2012-04-25		
GABRG2	2566	5q34	chr5:162067465-162155539	1	Little evidence for dosage pathogenicity	12117362	19261880	24480790				0	No evidence available							2018-09-25		
GALC	2581	14q31.3	chr14:87933014-87993667	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009499	
GALK1	2584	17q25.1	chr17:75751469-75765192	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009255	
GALNS	2588	16q24.3	chr16:88813734-88856947	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009659	
